Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-8157.007	-8418.304	261.2967	0.8321516	7.655251
6	-8151.153	-8413.484	262.3311	0.8662371	7.082122
12	-8153.611	-8417.801	264.1897	0.9736636	6.017671
18	-8144.454	-8406.049	261.5949	0.7367615	7.546734
24	-8135.574	-8397.504	261.9305	0.8613866	7.299974
30	-8147.588	-8409.588	262	0.7919387	7.299974
36	-8150.629	-8411.88	261.252	0.8288791	7.68095
42	-8145.491	-8407.636	262.1445	0.8843356	7.172738
48	-8137.489	-8400.376	262.8873	0.8745296	6.777917
54	-8133.394	-8395.617	262.2234	0.8368452	7.155823
60	-8137.384	-8399.633	262.2486	0.8532241	7.133465
66	-8140.982	-8403.251	262.2698	0.8389704	7.12976
72	-8136.438	-8398.797	262.3588	0.906971	7.04527
78	-8153.914	-8416.372	262.4585	0.8072844	7.04527
84	-8138.703	-8400.48	261.7768	0.8741996	7.375573
90	-8152.671	-8414.296	261.6247	0.8510234	7.469562
96	-8140.707	-8402.303	261.5963	0.8794268	7.469562
102	-8135.644	-8397.491	261.8465	0.8794268	7.335386
108	-8137.082	-8399.088	262.0061	0.783012	7.301491
114	-8149.758	-8410.512	260.7548	0.8108586	7.956129
120	-8140.576	-8403.9	263.3247	0.9186039	6.517619
126	-8137.29	-8400.054	262.7646	0.8643161	6.849656
132	-8137.674	-8398.548	260.874	0.7919069	7.902634
138	-8136.732	-8399.24	262.5083	0.8859516	6.976095
144	-8131.367	-8394.705	263.3381	0.8859516	6.528036
150	-8125.564	-8387.693	262.1294	0.864587	7.191439
156	-8138.755	-8399.611	260.8561	0.7872042	7.914715
162	-8132.08	-8394.682	262.6024	0.8848516	6.92603
168	-8143.695	-8406.328	262.6333	0.836128	6.935602
174	-8144.952	-8405.199	260.2472	0.7472244	8.260514
180	-8134.374	-8395.314	260.9406	0.7873352	7.869514
186	-8137.141	-8399.636	262.4947	0.8428133	7.006663
192	-8141.37	-8403.617	262.2471	0.8784907	7.120707
198	-8142.501	-8405.333	262.8326	0.9272296	6.779
204	-8142.279	-8405.28	263.0016	0.8291432	6.74072
210	-8146.972	-8410.686	263.7143	0.8418317	6.347989
216	-8139.048	-8400.002	260.9539	0.8261662	7.841712
222	-8155.141	-8414.208	259.0668	0.7618733	8.879546
228	-8149.261	-8411.351	262.0903	0.8120253	7.240672
234	-8136.43	-8398.329	261.8984	0.8934483	7.300014
240	-8142.204	-8405.488	263.2843	1.015738	6.486847
246	-8134.814	-8398.789	263.9752	0.9766538	6.132927
252	-8135.404	-8398.756	263.352	0.973057	6.473325
258	-8130.852	-8394.835	263.9825	0.9523759	6.142168
264	-8136.522	-8398.956	262.4342	0.8810145	7.018682
270	-8141.215	-8404.706	263.4911	0.8187367	6.481585
276	-8149.404	-8413.054	263.6499	0.8917325	6.355863
282	-8137.613	-8398.503	260.8898	0.8547833	7.860651
288	-8134.561	-8397.187	262.6263	0.8377087	6.93855
294	-8136.438	-8400.273	263.8351	0.9974262	6.197857
300	-8151.165	-8413.412	262.2469	0.9298687	7.093205
306	-8154.886	-8417.011	262.1246	0.898629	7.175734
312	-8149.845	-8412.24	262.3952	0.894998	7.032149
318	-8140.863	-8402.395	261.5322	0.8879419	7.499316
324	-8162.875	-8425.268	262.3928	0.9014262	7.029957
330	-8140.473	-8402.407	261.934	0.8657668	7.295758
336	-8146.926	-8408.88	261.9544	0.8453509	7.295758
342	-8148.802	-8411.97	263.168	0.929142	6.596695
348	-8148.737	-8411.087	262.3498	0.8688878	7.070622
354	-8174.639	-8437.068	262.4295	0.9054002	7.008073
360	-8155.452	-8418.961	263.5088	0.9716802	6.389051
366	-8147.025	-8410.347	263.3216	0.9359838	6.509877
372	-8147.496	-8411.83	264.334	0.9310246	5.962206
378	-8129.218	-8391.416	262.1975	0.8687277	7.152603
384	-8122.725	-8385.834	263.109	0.8240606	6.685413
390	-8135.393	-8396.963	261.5698	0.7940188	7.529493
396	-8137.725	-8400.16	262.4347	0.8425671	7.039124
402	-8130.512	-8392.266	261.7542	0.8425671	7.404689
408	-8137.078	-8399.719	262.6412	0.9001818	6.896863
414	-8135.227	-8398.258	263.0312	0.8509708	6.712948
420	-8136.067	-8399.303	263.2359	0.8818638	6.58558
426	-8144.433	-8408.11	263.6778	0.9438478	6.312423
432	-8147.797	-8411.497	263.7002	0.8680493	6.341445
438	-8146.724	-8410.005	263.2811	0.8680493	6.568577
444	-8149.138	-8411.803	262.6647	0.9225234	6.872129
450	-8139.099	-8401.445	262.3466	0.8815208	7.06555
456	-8131.509	-8394.345	262.8359	0.8811377	6.802118
462	-8135.047	-8396.172	261.1249	0.8155552	7.756029
468	-8139.888	-8402.217	262.3288	0.8965084	7.067043
474	-8140.948	-8402.161	261.2131	0.8726713	7.678327
480	-8133.741	-8393.842	260.1008	0.8180235	8.300748
486	-8127.344	-8389.101	261.7566	0.8079121	7.42199
492	-8124.05	-8386.319	262.2687	0.8498814	7.124477
498	-8134.579	-8398.086	263.5072	0.9080925	6.424403
504	-8139.857	-8400.926	261.0686	0.8298573	7.778425
510	-8122.571	-8384.359	261.7877	0.8038604	7.407467
516	-8129.299	-8390.697	261.3981	0.80052	7.617918
522	-8127.544	-8389.777	262.2327	0.7905526	7.175745
528	-8141.402	-8404.76	263.3585	0.9181438	6.499535
534	-8136.371	-8399.13	262.7594	0.8901666	6.838525
540	-8136.041	-8399.54	263.499	0.8660184	6.45164
546	-8148.161	-8410.849	262.6882	0.8610729	6.892601
552	-8131.79	-8395.195	263.4054	0.8131193	6.531005
558	-8126.307	-8388.791	262.485	0.8305853	7.018489
564	-8144.734	-8407.986	263.2515	0.8760021	6.580297
570	-8127.519	-8388.429	260.9097	0.8273344	7.86468
576	-8134.246	-8396.724	262.4788	0.8980862	6.985467
